'Page number,'Key,'Value,'Confidence Score % (Key),'Confidence Score % (Value)
"'1","'POLAND","'","'46.89882660","'46.89882660"
"'1","'KAZAKHSTAN","'MONGOLIA","'80.00000000","'80.00000000"
"'1","'MAKEDONIA","'","'49.02004242","'49.02004242"
"'1","'AZERBAIJAN","'ARMENIA","'62.51060486","'62.51060486"
"'1","'KYRGYZSTAN","'","'61.01218033","'61.01218033"
"'1","'KOREA","'JAPAN","'63.66323090","'63.66323090"
"'1","'CHILE","'ARGENTINA","'46.78555298","'46.78555298"
"'1","'Head Office and Factories","'2091, Gyeongchung-daero, Bubal-eup, Icheon-si, Gyeonggi-do, 17366, Korea","'91.97015381","'91.97015381"
"'1","'Hyundai Group","'Bldg. 194, Yulgok-ro, Jongno-gu, Seoul, 03127, Korea","'50.12887573","'50.12887573"
"'1","'Tel:","'82-2-3670-0668","'87.45230103","'87.45230103"
"'1","'Fax:","'82-2-3672-8763-4","'91.05386353","'91.05386353"
"'1","'Shanghai Office","'12F,|Block A) Guiping Rd.Xuhui District,Shanghai,China","'90.36811829","'90.36811829"
"'1","'Liantang Town,Qingpu","'District,Shanghai,China P.C.:207716","'81.85454559","'81.85454559"
"'1","'T.","'7-495-514-00-32","'56.50524521","'56.50524521"
"'1","'T.","'5411-3220-2878","'55.35928726","'55.35928726"
"'1","'E.","'","'62.90575409","'62.90575409"
"'1","'E.","'ogueta@skylift.com.an","'65.11525726","'65.11525726"
"'1","'T.","'7-423-222-98-73","'56.84970474","'56.84970474"
"'1","'T.","'20-1-066628331","'57.34708786","'57.34708786"
"'1","'E.","'info@dvc.ru","'67.41927338","'67.41927338"
"'1","'E.","'overseas@iet-hyundaielevator.com","'64.56120300","'64.56120300"
"'1","'MONGOLIA","'E. khishigbaatar@hyundai-elevator.mn","'61.67309952","'61.67309952"
"'1","'TURKEY","'T. 90-216-488-8000","'67.37529755","'67.37529755"
"'1","'ETHIOPIA","'T. 251-911-503-000","'60.00711823","'60.00711823"
"'1","'T.","'55-51-3037-8686","'69.63063812","'69.63063812"
"'1","'E.","'syyun@hdel.co.kr","'70.98545837","'70.98545837"
"'1","'[Sao paulo (Sales office]]","'T. 55-11-5102-3380","'56.54495239","'56.54495239"
"'1","'T.","'973-17-702-468","'45.49321747","'45.49321747"
"'1","'E.","'elevators@nassgroup.com","'53.63660431","'53.63660431"
"'1","'T.","'56-2-2635-3394","'47.09327698","'47.09327698"
"'1","'IRAN","'T. 98-21-8869-8727-36","'69.17900848","'69.17900848"
"'1","'E.","'nicolas@orionelevators.com","'52.95690918","'52.95690918"
"'1","'COLOMBIA","'T. 57-1-560-2990","'67.11503601","'67.11503601"
"'1","'E.","'jafari_hyundai2015@yahoo.com","'65.99190521","'65.99190521"
"'1","'T.","'27-87-150-3550","'53.74829102","'53.74829102"
"'1","'IRAQ","'T. 964-7901336498","'66.62400818","'66.62400818"
"'1","'E.","'infodmunaca.co.za","'47.98027420","'47.98027420"
"'1","'COSTA RICA","'T. 506-7013-4407 E. cc.elevatec@grupomisol.com","'55.65800095","'55.65800095"
"'1","'E.","'arjoon_co@yahoo.com","'52.55548477","'52.55548477"
"'1","'ISRAEL","'T. 972-3-9630000","'70.39048767","'70.39048767"
"'1","'E.","'amirdafo@danfodio.sd","'56.53932571","'56.53932571"
"'1","'CUBA","'T. 537-699-3412 habanajdkim@gmail.com","'68.00088501","'68.00088501"
"'1","'TUNISIA","'T. 216-71-886-980","'61.97528076","'61.97528076"
"'1","'E.","'","'67.01446533","'67.01446533"
"'1","'E.","'ideal.commercial@gnet.tn","'57.00856400","'57.00856400"
"'1","'VIETNAM","'T. 84-913-927-601","'60.66082764","'60.66082764"
"'1","'T.","'962-79-5526-713","'46.31510544","'46.31510544"
"'1","'809-566-7474","'E. cesar@eleva.com.do","'56.55766678","'56.55766678"
"'1","'E.","'m_bseiso@orange.jo","'51.29908752","'51.29908752"
"'1","'T.","'965-22-457-925","'59.81531906","'59.81531906"
"'1","'ECUADOR","'T. 593-2254-2831","'71.40737152","'71.40737152"
"'1","'E.","'zahid@edgeworksbd.com","'66.00228882","'66.00228882"
"'1","'T.","'E. cd.elevatec@grupomisol.com","'69.72425079","'69.72425079"
"'1","'E.","'techno.hyundai@gmail.com","'47.29805756","'47.29805756"
"'1","'CHINA","'86-21-6485-8600 E. 2017407@hdel.co.kr","'46.00978088","'46.00978088"
"'1","'T.","'52-55-5663-2019","'50.60132599","'50.60132599"
"'1","'Premium Gearless","'LUX","'58.51599503","'58.51599503"
"'1","'T.","'","'64.05569458","'64.05569458"
"'1","'E.","'yurich@insertechmx.com","'72.06677246","'72.06677246"
"'1","'T.","'966-530-970-318","'56.29436493","'56.29436493"
"'1","'PANAMA","'507-230-3166 E. asucre@elevadoresdelistmo.com","'72.61685944","'72.61685944"
"'1","'T.","'","'63.10301590","'63.10301590"
"'1","'T.","'86-755-2585-5903","'66.45476532","'66.45476532"
"'1","'E.","'natalia.ibragimovadtechnolift.kz","'69.41461182","'69.41461182"
"'1","'E.","'hyundaisz@naver.com","'63.01020813","'63.01020813"
